id,stat_month,early_warning_idx,consistency_idx,leading_idx,lagging_idx
9,2016-08,65.3,94.23,99.13,89.0
8,2016-09,65.3,94.22,99.46,89.24
7,2016-10,68.0,94.2,99.66,89.71
6,2016-11,68.0,94.4,100.0,89.94
5,2016-12,70.7,93.5,99.82,91.14
4,2017-01,73.3,94.02,99.67,91.06
3,2017-02,76.0,94.8,99.58,91.38
2,2017-03,76.0,94.64,99.94,91.24
1,2017-04,76.0,94.47,100.1,91.94
319,2017-05,76.0,94.22,100.18,92.44
318,2017-06,76.0,94.7,100.5,92.7
317,2017-07,73.3,94.5,100.6,92.6
320,2017-08,73.3,94.2,100.21,92.86
321,2017-09,73.3,94.55,100.37,92.75
322,2017-10,73.3,94.39,100.59,92.77
323,2017-11,70.7,93.83,100.88,92.66
324,2017-12,70.7,93.47,100.53,92.71
340,2018-01,,103.06,104.56,
339,2018-02,,102.75,104.4,97.87
338,2018-03,,102.69,104.13,97.86
337,2018-04,,102.57,104.24,98.01
336,2018-05,,102.2,104.36,97.87
335,2018-06,,102.23,103.52,97.32
334,2018-07,,101.86,103.21,97.7
333,2018-08,,101.51,102.81,98.16
332,2018-09,,101.12,102.28,98.57
331,2018-10,,100.65,101.73,98.82
330,2018-11,,100.17,101.31,98.95
329,2018-12,,99.77,101.07,98.97
328,2019-01,,99.48,100.97,98.98
327,2019-02,,99.22,100.98,99.4
326,2019-03,,99.33,101.08,100.04
325,2019-04,,99.05,100.52,99.52
349,2019-05,,98.68,100.06,99.6
348,2019-06,,98.32,99.67,99.31
347,2019-07,,98.17,99.4,98.85
346,2019-08,,98.12,99.37,98.45
345,2019-09,,97.9,99.25,98.11
344,2019-10,,96.86,98.86,97.91
343,2019-11,,94.3,98.14,97.9
342,2019-12,,90.8,97.3,98.0
341,2020-01,,87.4,96.7,98.4
366,2020-02,,85.8,96.8,98.8
365,2020-03,,86.8,97.76,98.93
364,2020-04,,89.14,99.27,99.06
363,2020-05,,92.2,101.0,99.24
362,2020-06,,94.99,102.45,99.59
361,2020-07,,97.01,103.36,99.99
367,2020-08,,98.46,103.85,100.22
368,2020-09,,100.0,104.14,100.15
388,2020-10,,102.28,104.5,99.83
407,2020-11,,105.79,105.02,99.36
427,2020-12,,110.36,105.58,98.93
429,2021-01,,114.7,105.84,98.6
428,2021-02,,116.9,105.57,98.31
448,2021-03,,116.2,104.7,98.05
449,2021-04,,113.1,103.3,97.92
469,2021-05,,109.2,101.6,97.8
470,2021-06,,105.5,99.86,97.6
471,2021-07,,102.6,98.2,97.4
472,2021-08,,100.4,97.0,97.6
479,2021-09,,98.8,96.3,98.01
480,2021-10,,97.6,95.9,98.6
481,2021-11,,96.3,95.6,99.2
482,2021-12,,95.2,95.6,99.3
485,2022-01,,98.56,97.11,100.22
484,2022-02,,99.5,97.47,100.59
483,2022-03,,99.8,97.7,101.0
