id,stat_quarter,boom_idx,boom_idx_yoy,boom_idx_mom,confidence_idx,confidence_idx_yoy,confidence_idx_mom
1,2017-03,123.4,23.4,9.9,123.7,23.7,10.1
2,2016-12,113.5,13.5,2.2,113.6,13.6,2.2
3,2016-09,111.3,11.3,3.5,111.4,11.4,3.4
4,2016-06,107.8,7.8,0.7,108.0,8.0,0.1
5,2016-03,107.1,7.1,-5.1,107.9,7.9,-1.0
6,2014-06,,,,121.4,21.4,
7,2013-12,119.5,19.5,-2.0,117.1,17.1,-2.4
8,2013-09,121.5,21.5,0.9,119.5,19.5,2.5
9,2013-06,120.6,20.6,-5.0,117.0,17.0,-5.4
10,2013-03,125.6,25.6,1.2,122.4,22.4,2.0
11,2012-12,124.4,24.4,1.6,120.4,20.4,3.9
12,2012-09,122.8,22.8,-4.13,116.5,16.5,-4.65
13,2012-06,126.9,26.93,-0.41,121.2,21.15,-1.85
14,2012-03,127.3,27.34,-0.86,123.0,23.0,1.0
15,2011-12,128.2,28.2,-5.2,122.0,22.0,-7.4
16,2011-09,133.4,33.4,-2.2,129.4,29.4,-3.0
17,2011-06,135.6,35.6,1.8,132.4,32.4,-5.0
18,2011-03,133.8,33.8,-4.2,137.4,37.4,0.4
19,2010-12,138.0,38.0,0.1,137.0,37.0,1.1
20,2010-09,137.9,37.9,2.0,135.9,35.9,2.9
21,2010-06,135.9,35.9,3.0,133.0,33.0,-2.5
22,2010-03,132.9,32.9,2.3,135.5,35.5,7.8
23,2009-12,130.6,30.6,6.2,127.7,27.7,7.6
24,2009-09,124.4,24.4,8.5,120.1,20.1,9.9
25,2009-06,115.9,15.9,10.3,110.2,10.2,9.1
26,2009-03,105.6,5.6,-1.4,101.1,1.1,6.5
27,2008-12,107.0,7.0,-21.6,94.6,-5.4,-29.2
28,2008-09,128.6,28.6,-8.8,123.8,23.8,-11.0
29,2008-06,137.4,37.4,1.2,134.8,34.8,-5.8
30,2008-03,136.2,36.2,-7.4,140.6,40.6,1.0
31,2007-12,143.6,43.6,-1.1,139.6,39.6,-3.4
32,2007-09,144.7,44.7,-1.3,143.0,43.0,-0.1
33,2007-06,146.0,46.0,6.3,143.1,43.1,1.1
34,2007-03,139.7,39.7,0.3,142.0,42.0,6.7
35,2006-12,139.4,39.4,2.7,135.3,35.3,2.7
36,2006-09,136.7,36.7,0.8,132.6,32.6,0.1
37,2006-06,135.9,35.9,4.4,132.5,32.5,-0.6
38,2006-03,131.5,31.5,-0.2,133.1,33.1,7.7
39,2005-12,131.7,31.7,-0.3,125.4,25.4,-2.2
40,2005-09,132.0,32.0,0.29,127.6,27.6,-0.9
41,2005-06,131.7,31.71,-0.75,128.5,28.5,-7.35
42,2005-03,132.5,32.46,-2.27,135.9,35.85,5.04
43,2017-06,123.1,23.1,-0.3,123.1,23.1,-0.6
44,2017-09,123.5,23.5,0.4,123.6,23.6,0.5
45,2017-12,123.4,23.4,-0.1,123.9,23.9,0.3
46,2018-06,124.5,24.5,-2.1,125.8,25.8,-2.2
47,2018-03,126.6,26.6,3.2,128.0,28.0,4.1
49,2015-12,112.2,12.2,-3.3,108.9,8.9,-3.2
50,2015-09,115.5,15.5,-3.0,112.1,12.1,-2.4
51,2018-09,122.7,22.7,-1.8,123.6,23.6,-2.2
52,2018-12,120.2,20.2,-2.5,121.3,21.3,-2.3
53,2019-03,126.6,26.6,6.4,127.9,27.9,6.6
54,2019-06,123.2,23.2,-3.4,124.1,24.1,-3.8
55,2019-09,123.4,23.4,0.2,124.3,24.3,0.2
57,2015-06,118.5,18.5,-5.8,114.5,14.5,-6.1
58,2015-03,124.3,24.3,6.3,120.6,20.6,5.5
59,2014-12,118.0,18.0,-4.3,115.1,15.1,-3.9
60,2019-12,122.8,22.8,-0.6,123.6,23.6,-0.7
61,2020-03,88.2167,-11.7833,-34.5833,90.8577,-9.1423,-32.7423
62,2020-06,109.1173,9.1173,20.9006,110.4119,10.4119,19.5542
63,2020-09,121.1538,21.1538,12.0365,122.5376,22.5376,12.1257
73,2020-12,121.9146,21.9146,0.7608,123.4413,23.4413,0.9037
74,2021-03,125.2,25.2,3.2854,127.8,27.8,4.3587
75,2021-06,123.8,23.8,-1.4,126.0,26.0,-1.8
76,2021-09,119.2,19.2,-4.6,120.9,20.9,-5.1
