,count,mean,std,min,max
re,178.0,0.002,0.046,-0.122,0.182
re1,179.0,0.001,0.047,-0.122,0.182
re2,178.0,0.002,0.047,-0.122,0.182
re3,177.0,0.001,0.046,-0.116,0.182
re4,177.0,0.001,0.046,-0.116,0.182
re5,176.0,0.002,0.043,-0.116,0.124
中国:产量:纯碱,178.0,55.796,4.023,43.63,63.05
re期货持仓量:纯碱,178.0,0.035,0.18,-0.517,1.244
re期货持仓量(活跃合约):纯碱,178.0,0.043,0.244,-0.55,1.455
期货持仓量:纯碱,179.0,768102.397,758082.843,20948.0,3243138.0
期货持仓量(活跃合约):纯碱,179.0,417288.374,308414.508,14424.0,1311473.0
中国:开工率:纯碱,179.0,81.129,7.158,62.1,94.36
中国:固定资产投资完成额:累计同比,168.0,5.049,9.738,-24.5,35.0
中国:固定资产投资完成额:制造业:累计同比,168.0,6.171,14.184,-31.5,37.3
中国:规模以上工业增加值:金属制品业:累计同比,168.0,7.482,15.628,-26.9,59.5
中国:规模以上工业增加值:金属制品业:当月同比,151.0,6.144,7.432,-6.6,22.5
中国:规模以上工业增加值:通用设备制造业:当月同比,151.0,5.089,6.976,-15.8,20.2
中国:规模以上工业增加值:通用设备制造业:累计同比,168.0,6.325,15.417,-28.2,62.4
中国:规模以上工业增加值:专用设备制造业:当月同比,151.0,6.64,4.683,-5.5,17.9
中国:规模以上工业增加值:专用设备制造业:累计同比,168.0,8.614,12.855,-24.4,59.2
中国:产量:工业锅炉:当月同比,151.0,2.269,18.722,-18.2,62.3
中国:产量:工业锅炉:累计同比,168.0,2.883,20.829,-31.5,63.2
中国:产量:金属切削机床:累计同比,168.0,6.767,28.029,-44.6,85.4
中国:产量:金属切削机床:当月同比,151.0,6.721,17.81,-21.7,42.9
中国:产量:汽车:当月同比,151.0,6.348,23.051,-43.5,69.8
中国:产量:汽车:累计同比,168.0,4.529,26.472,-45.8,89.9
中国:PPI:全部工业品:当月同比,179.0,2.169,5.45,-5.4,13.5
中国:PPI:全部工业品:累计同比,179.0,2.275,4.224,-3.2,9.1
weekly,179.0,147.86,56.509,51.0,245.0
